Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
overweight,female,vegetarian,twice a day,natural gas,0.0,never,91,rarely,6868,0.0,5,17,22,1,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",3356,Other,Mumbai,India,5.0,0.0,0.0,1.0,38,2,52,10,443,41,Worli,"Vehicular, Construction",769.16,652.87,1020.39,887.72,353.76,1864.32,Monsoon,5548.22,"750,400"
obese,female,pescatarian,more frequently,wood,0.0,never,226,frequently,31,0.0,4,5,25,23,No,['Plastic'],"['Stove', 'Grill', 'Airfryer']",2547,Other,Navi Mumbai,India,4.0,0.0,0.0,1.0,28,1,55,8,1958,126,Nerul,"Residential, Corporate, Construction",812.14,527.87,818.41,572.03,424.38,0.0,Winter,3154.83,"700,500,350"
overweight,female,vegetarian,daily,natural gas,0.0,never,50,frequently,1216,0.0,3,10,15,17,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],1566,Other,Navi Mumbai,India,3.0,0.0,0.0,1.0,14,1,1,16,1711,89,Turbhe,"Industrial, Vehicular",706.53,446.91,1047.36,624.58,368.0,0.0,Summer,3193.38,"1000,600"
overweight,female,omnivore,more frequently,coal,0.0,never,151,rarely,1861,0.0,2,7,1,23,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave']",1308,Engineering,Navi Mumbai,India,2.0,0.0,0.0,1.0,7,1,1,14,1298,104,Nerul,"Residential, Corporate, Construction",738.21,529.92,806.86,510.77,399.43,0.0,Winter,2985.19,"700,500,350"
overweight,male,vegetarian,less frequently,coal,0.0,often,114,rarely,3711,0.0,5,8,19,16,No,"['Plastic', 'Glass', 'Metal']",['Stove'],1761,Finance,Navi Mumbai,India,5.0,0.0,0.0,1.0,20,1,42,7,569,58,Taloja,"Industrial, Construction",613.15,503.19,1054.56,510.56,340.43,0.0,Summer,3021.89,"1000,350"
obese,male,pescatarian,less frequently,wood,0.0,never,186,frequently,557,0.0,6,6,28,16,Yes,"['Plastic', 'Metal']",['Microwave'],2714,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,38,3,7,17,1011,49,Kharghar,"Residential, Construction",819.98,484.89,878.03,454.99,417.13,0.0,Winter,3055.02,"700,350"
normal,male,vegetarian,less frequently,wood,0.0,never,161,very frequently,1092,0.0,2,8,50,10,Yes,[],[],2911,Student,Mumbai,India,2.0,0.0,0.0,1.0,18,1,37,7,938,123,Goregaon,"Residential, Construction",967.81,597.76,1029.73,592.28,369.4,1859.5,Summer,5416.48,"850,400"
normal,male,vegetarian,less frequently,wood,0.0,often,183,very frequently,3777,0.0,6,20,40,20,Sometimes,"['Plastic', 'Glass']",['Microwave'],4869,Student,Mumbai,India,6.0,0.0,0.0,1.0,22,3,17,2,885,72,Sion,"Vehicular, Construction",663.79,547.41,1116.8,843.06,476.3,1473.55,Summer,5120.91,"750,400"
overweight,male,vegan,more frequently,natural gas,0.0,often,242,rarely,24,0.0,4,22,28,14,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2098,Other,Mumbai,India,4.0,0.0,0.0,1.0,10,1,53,18,1118,73,Worli,"Vehicular, Construction",765.95,509.56,990.99,807.87,394.31,1610.77,Winter,5079.45,"750,400"
underweight,male,vegan,twice a day,electricity,0.0,sometimes,206,frequently,972,0.0,2,16,10,19,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",1308,Engineering,Mumbai,India,2.0,0.0,0.0,1.0,10,3,28,13,1146,98,Andheri (Airport area),"Vehicular, Corporate, Airport",752.14,819.5,1068.05,885.05,320.27,2107.43,Summer,5952.44,"750,650,2000"
normal,male,vegetarian,more frequently,coal,0.0,often,249,never,35,0.0,1,14,7,4,No,['Metal'],"['Grill', 'Airfryer']",1349,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,23,0,10,1,637,55,Nerul,"Residential, Corporate, Construction",743.48,523.86,868.47,572.92,391.51,0.0,Winter,3100.24,"700,500,350"
obese,female,pescatarian,less frequently,electricity,0.0,never,190,very frequently,29,0.0,7,23,1,17,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2761,Engineering,Navi Mumbai,India,7.0,0.0,0.0,1.0,35,2,55,0,329,82,Koparkhairane,"Residential, Industrial",791.74,381.01,998.61,476.23,277.47,0.0,Monsoon,2925.06,"700,1000"
