Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,Transport_share,Waste Bag Size_share,Waste Bag Weekly Count_share,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport
overweight,female,vegetarian,twice a day,natural gas,0.0,never,91,rarely,6868,0.0,5,17,22,1,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",3356,Other,Mumbai,India,5.0,0.0,0.0,1.0,38,2,52,10,443,41,Worli,"Vehicular, Construction",0,0,0,1,1,0
obese,female,pescatarian,more frequently,wood,0.0,never,226,frequently,31,0.0,4,5,25,23,No,['Plastic'],"['Stove', 'Grill', 'Airfryer']",2547,Other,Navi Mumbai,India,4.0,0.0,0.0,1.0,28,1,55,8,1958,126,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
overweight,female,vegetarian,daily,natural gas,0.0,never,50,frequently,1216,0.0,3,10,15,17,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],1566,Other,Navi Mumbai,India,3.0,0.0,0.0,1.0,14,1,1,16,1711,89,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
overweight,female,omnivore,more frequently,coal,0.0,never,151,rarely,1861,0.0,2,7,1,23,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave']",1308,Engineering,Navi Mumbai,India,2.0,0.0,0.0,1.0,7,1,1,14,1298,104,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
overweight,male,vegetarian,less frequently,coal,0.0,often,114,rarely,3711,0.0,5,8,19,16,No,"['Plastic', 'Glass', 'Metal']",['Stove'],1761,Finance,Navi Mumbai,India,5.0,0.0,0.0,1.0,20,1,42,7,569,58,Taloja,"Industrial, Construction",0,0,1,0,1,0
obese,male,pescatarian,less frequently,wood,0.0,never,186,frequently,557,0.0,6,6,28,16,Yes,"['Plastic', 'Metal']",['Microwave'],2714,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,38,3,7,17,1011,49,Kharghar,"Residential, Construction",1,0,0,0,1,0
normal,male,vegetarian,less frequently,wood,0.0,never,161,very frequently,1092,0.0,2,8,50,10,Yes,[],[],2911,Student,Mumbai,India,2.0,0.0,0.0,1.0,18,1,37,7,938,123,Goregaon,"Residential, Construction",1,0,0,0,1,0
normal,male,vegetarian,less frequently,wood,0.0,often,183,very frequently,3777,0.0,6,20,40,20,Sometimes,"['Plastic', 'Glass']",['Microwave'],4869,Student,Mumbai,India,6.0,0.0,0.0,1.0,22,3,17,2,885,72,Sion,"Vehicular, Construction",0,0,0,1,1,0
overweight,male,vegan,more frequently,natural gas,0.0,often,242,rarely,24,0.0,4,22,28,14,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2098,Other,Mumbai,India,4.0,0.0,0.0,1.0,10,1,53,18,1118,73,Worli,"Vehicular, Construction",0,0,0,1,1,0
underweight,male,vegan,twice a day,electricity,0.0,sometimes,206,frequently,972,0.0,2,16,10,19,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",1308,Engineering,Mumbai,India,2.0,0.0,0.0,1.0,10,3,28,13,1146,98,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
normal,male,vegetarian,more frequently,coal,0.0,often,249,never,35,0.0,1,14,7,4,No,['Metal'],"['Grill', 'Airfryer']",1349,Finance,Navi Mumbai,India,1.0,0.0,0.0,1.0,23,0,10,1,637,55,Nerul,"Residential, Corporate, Construction",1,1,0,0,1,0
obese,female,pescatarian,less frequently,electricity,0.0,never,190,very frequently,29,0.0,7,23,1,17,Yes,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2761,Engineering,Navi Mumbai,India,7.0,0.0,0.0,1.0,35,2,55,0,329,82,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
overweight,female,vegan,daily,natural gas,0.0,never,72,very frequently,98,0.0,3,20,22,3,Sometimes,['Paper'],['Microwave'],2119,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,39,5,5,4,1829,76,Vashi,"Corporate, Residential, Vehicular",1,1,0,1,0,0
normal,male,vegan,daily,electricity,0.0,often,249,never,7179,0.0,6,21,9,13,Sometimes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",3821,Finance,Mumbai,India,6.0,0.0,0.0,1.0,23,2,8,16,229,99,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
underweight,female,vegan,more frequently,wood,0.0,often,124,never,80,0.0,1,6,34,23,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1187,Other,Navi Mumbai,India,1.0,0.0,0.0,1.0,2,0,21,0,1273,35,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
obese,male,pescatarian,more frequently,natural gas,0.0,often,128,very frequently,1706,0.0,2,23,24,8,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",3308,Other,Navi Mumbai,India,2.0,0.0,0.0,1.0,21,3,45,15,726,139,Turbhe,"Industrial, Vehicular",0,0,1,1,0,0
underweight,male,vegan,daily,natural gas,0.0,sometimes,72,frequently,55,0.0,7,6,42,12,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2248,Operations,Navi Mumbai,India,7.0,0.0,0.0,1.0,1,3,50,2,265,28,CBD Belapur,"Corporate, Vehicular",0,1,0,1,0,0
obese,male,vegan,daily,wood,0.0,often,162,frequently,546,0.0,5,21,17,12,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave']",2936,Operations,Mumbai,India,5.0,0.0,0.0,1.0,23,2,24,9,1372,47,Goregaon,"Residential, Construction",1,0,0,0,1,0
normal,male,vegan,more frequently,electricity,0.0,often,51,frequently,25,0.0,5,22,14,24,Yes,[],['Oven'],1721,Sales,Mumbai,India,5.0,0.0,0.0,1.0,29,4,57,18,781,64,Worli,"Vehicular, Construction",0,0,0,1,1,0
underweight,female,pescatarian,less frequently,wood,0.0,never,232,rarely,488,0.0,7,17,14,11,No,"['Plastic', 'Glass']","['Oven', 'Microwave']",1745,Engineering,Mumbai,India,7.0,0.0,0.0,1.0,37,1,30,10,1791,77,Bandra Kurla Complex,Corporate,0,1,0,0,0,0
underweight,female,pescatarian,less frequently,electricity,0.0,never,190,rarely,7,0.0,7,23,4,2,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",769,Finance,Mumbai,India,7.0,0.0,0.0,1.0,1,2,20,2,674,48,Sion,"Vehicular, Construction",0,0,0,1,1,0
obese,female,vegan,twice a day,electricity,0.0,sometimes,249,frequently,1006,0.0,7,6,5,3,Sometimes,"['Plastic', 'Metal']",['Stove'],1933,Student,Navi Mumbai,India,7.0,0.0,0.0,1.0,20,3,37,1,1396,114,Taloja,"Industrial, Construction",0,0,1,0,1,0
underweight,female,vegan,daily,electricity,0.0,often,75,very frequently,3782,0.0,7,22,45,8,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",3207,Student,Mumbai,India,7.0,0.0,0.0,1.0,32,0,51,2,342,140,Worli,"Vehicular, Construction",0,0,0,1,1,0
obese,male,pescatarian,daily,natural gas,0.0,often,132,very frequently,41,0.0,7,16,47,23,Sometimes,[],"['Stove', 'Oven', 'Grill', 'Airfryer']",4194,Student,Mumbai,India,7.0,0.0,0.0,1.0,11,2,18,14,467,76,Malad West,"Residential, Construction",1,0,0,0,1,0
overweight,male,vegetarian,twice a day,wood,0.0,sometimes,54,very frequently,1218,0.0,1,14,46,10,Sometimes,"['Paper', 'Plastic', 'Glass']",[],2591,Sales,Mumbai,India,1.0,0.0,0.0,1.0,21,1,9,19,798,52,Andheri (Airport area),"Vehicular, Corporate, Airport",0,1,0,1,0,1
overweight,female,vegetarian,more frequently,natural gas,0.0,often,92,very frequently,13,0.0,6,15,4,22,No,"['Glass', 'Metal']","['Stove', 'Oven']",2238,Finance,Navi Mumbai,India,6.0,0.0,0.0,1.0,24,1,45,8,726,127,Koparkhairane,"Residential, Industrial",1,0,1,0,0,0
obese,male,vegan,less frequently,electricity,0.0,often,267,frequently,1338,0.0,3,16,18,9,Sometimes,"['Paper', 'Metal']","['Stove', 'Oven']",2091,Finance,Navi Mumbai,India,3.0,0.0,0.0,1.0,26,1,36,14,357,35,Ghansoli,"Residential, Industrial",1,0,1,0,0,0
