Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,CarbonEmission,subdomain,city,country,total_co2,lpg_kg,flights_hours,meat_meals,dining_out,shopping_spend,waste_kg,area,area_type_raw,Residential,Corporate,Industrial,Vehicular,Construction,Airport,season,area_total_emission,area_emissions_list
overweight,female,vegetarian,twice a day,natural gas,never,91,rarely,6868,5,17,22,1,No,"['Paper', 'Metal']","['Oven', 'Grill', 'Airfryer']",3356,Other,Mumbai,India,225.0,38,2,52,10,443,41,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Monsoon,225.0,"750,400"
obese,female,pescatarian,more frequently,wood,never,226,frequently,31,4,5,25,23,No,['Plastic'],"['Stove', 'Grill', 'Airfryer']",2547,Other,Navi Mumbai,India,230.0,28,1,55,8,1958,126,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Winter,230.0,"700,500,350"
overweight,female,vegetarian,daily,natural gas,never,50,frequently,1216,3,10,15,17,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Microwave'],1566,Other,Navi Mumbai,India,265.0,14,1,1,16,1711,89,Turbhe,"Industrial, Vehicular",21.2,13.25,145.75,66.25,13.25,5.3,Summer,265.0,"1000,600"
overweight,female,omnivore,more frequently,coal,never,151,rarely,1861,2,7,1,23,Sometimes,"['Paper', 'Plastic']","['Oven', 'Microwave']",1308,Engineering,Navi Mumbai,India,230.0,7,1,1,14,1298,104,Nerul,"Residential, Corporate, Construction",75.9,34.5,18.4,80.5,16.1,4.6,Winter,230.0,"700,500,350"
overweight,male,vegetarian,less frequently,coal,often,114,rarely,3711,5,8,19,16,No,"['Plastic', 'Glass', 'Metal']",['Stove'],1761,Finance,Navi Mumbai,India,285.0,20,1,42,7,569,58,Taloja,"Industrial, Construction",14.25,8.55,199.5,42.75,14.25,5.7,Summer,285.0,"1000,350"
obese,male,pescatarian,less frequently,wood,never,186,frequently,557,6,6,28,16,Yes,"['Plastic', 'Metal']",['Microwave'],2714,Finance,Navi Mumbai,India,240.0,38,3,7,17,1011,49,Kharghar,"Residential, Construction",72.0,36.0,28.8,84.0,14.4,4.8,Winter,240.00000000000003,"700,350"
normal,male,vegetarian,less frequently,wood,never,161,very frequently,1092,2,8,50,10,Yes,[],[],2911,Student,Mumbai,India,230.0,18,1,37,7,938,123,Goregaon,"Residential, Construction",57.5,46.0,18.4,92.0,11.5,4.6,Summer,230.0,"850,400"
normal,male,vegetarian,less frequently,wood,often,183,very frequently,3777,6,20,40,20,Sometimes,"['Plastic', 'Glass']",['Microwave'],4869,Student,Mumbai,India,240.0,22,3,17,2,885,72,Sion,"Vehicular, Construction",52.8,36.0,36.0,91.2,19.2,4.8,Summer,240.0,"750,400"
overweight,male,vegan,more frequently,natural gas,often,242,rarely,24,4,22,28,14,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",2098,Other,Mumbai,India,225.0,10,1,53,18,1118,73,Worli,"Vehicular, Construction",45.0,56.25,11.25,90.0,18.0,4.5,Winter,225.0,"750,400"
underweight,male,vegan,twice a day,electricity,sometimes,206,frequently,972,2,16,10,19,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven']",1308,Engineering,Mumbai,India,2.0,10,3,28,13,1146,98,Andheri (Airport area),"Vehicular, Corporate, Airport",752.14,819.5,1068.05,885.05,320.27,2107.43,Summer,5952.44,"750,650,2000"
